CMDLINE /opt/miniconda3/envs/jupyter/bin/python test.py
MEM 40.921875 1596199142.0971
MEM 40.937500 1596199142.2007
MEM 40.953125 1596199142.3022
MEM 40.968750 1596199142.4035
MEM 40.988281 1596199142.5050
MEM 41.003906 1596199142.6061
MEM 41.019531 1596199142.7112
MEM 41.035156 1596199142.8133
MEM 41.050781 1596199142.9139
MEM 41.070312 1596199143.0191
MEM 41.085938 1596199143.1235
MEM 41.101562 1596199143.2248
MEM 41.121094 1596199143.3260
MEM 41.136719 1596199143.4267
MEM 41.152344 1596199143.5308
MEM 41.171875 1596199143.6351
MEM 41.183594 1596199143.7399
MEM 41.203125 1596199143.8435
MEM 41.218750 1596199143.9459
MEM 41.234375 1596199144.0461
MEM 41.253906 1596199144.1471
MEM 41.269531 1596199144.2488
MEM 41.285156 1596199144.3502
MEM 41.300781 1596199144.4546
MEM 41.320312 1596199144.5558
MEM 41.335938 1596199144.6586
MEM 41.351562 1596199144.7612
MEM 41.367188 1596199144.8634
MEM 41.382812 1596199144.9685
MEM 41.398438 1596199145.0701
MEM 41.414062 1596199145.1711
MEM 41.429688 1596199145.2735
MEM 41.441406 1596199145.3769
MEM 41.457031 1596199145.4812
MEM 41.472656 1596199145.5814
MEM 41.488281 1596199145.6864
MEM 41.500000 1596199145.7900
MEM 41.515625 1596199145.8915
MEM 41.531250 1596199145.9924
MEM 41.542969 1596199146.0933
MEM 41.558594 1596199146.1961
MEM 41.574219 1596199146.3011
MEM 41.589844 1596199146.4019
MEM 41.601562 1596199146.5021
MEM 41.617188 1596199146.6024
MEM 41.632812 1596199146.7076
MEM 41.648438 1596199146.8088
MEM 41.664062 1596199146.9129
MEM 41.679688 1596199147.0132
MEM 41.691406 1596199147.1145
MEM 41.707031 1596199147.2151
MEM 41.722656 1596199147.3158
MEM 41.738281 1596199147.4168
MEM 41.753906 1596199147.5195
MEM 41.765625 1596199147.6241
MEM 41.781250 1596199147.7261
MEM 41.796875 1596199147.8284
MEM 41.812500 1596199147.9288
MEM 41.828125 1596199148.0326
MEM 41.839844 1596199148.1365
MEM 41.855469 1596199148.2411
MEM 41.871094 1596199148.3430
MEM 41.886719 1596199148.4449
MEM 41.902344 1596199148.5451
MEM 41.914062 1596199148.6463
MEM 41.929688 1596199148.7466
MEM 41.945312 1596199148.8490
MEM 41.960938 1596199148.9528
MEM 41.976562 1596199149.0539
MEM 41.992188 1596199149.1549
MEM 42.003906 1596199149.2573
MEM 42.019531 1596199149.3582
MEM 42.035156 1596199149.4630
MEM 42.050781 1596199149.5658
MEM 42.066406 1596199149.6662
MEM 42.078125 1596199149.7663
MEM 42.093750 1596199149.8700
MEM 42.109375 1596199149.9734
MEM 42.125000 1596199150.0779
MEM 42.140625 1596199150.1793
MEM 42.156250 1596199150.2806
MEM 42.167969 1596199150.3822
MEM 42.183594 1596199150.4824
MEM 42.199219 1596199150.5872
MEM 42.214844 1596199150.6901
MEM 42.230469 1596199150.7906
MEM 42.242188 1596199150.8908
MEM 42.257812 1596199150.9953
MEM 42.273438 1596199151.0969
MEM 42.289062 1596199151.2020
MEM 42.304688 1596199151.3071
MEM 42.320312 1596199151.4115
MEM 42.335938 1596199151.5151
MEM 42.351562 1596199151.6195
MEM 42.367188 1596199151.7243
MEM 42.382812 1596199151.8257
MEM 42.398438 1596199151.9289
MEM 42.414062 1596199152.0293
MEM 42.429688 1596199152.1316
MEM 42.445312 1596199152.2358
MEM 42.460938 1596199152.3401
MEM 42.476562 1596199152.4403
MEM 42.492188 1596199152.5454
MEM 42.507812 1596199152.6482
MEM 42.523438 1596199152.7503
MEM 42.539062 1596199152.8517
MEM 42.554688 1596199152.9519
MEM 42.570312 1596199153.0551
MEM 42.585938 1596199153.1556
MEM 42.601562 1596199153.2571
MEM 42.613281 1596199153.3583
MEM 42.628906 1596199153.4595
MEM 42.644531 1596199153.5648
MEM 42.660156 1596199153.6684
MEM 42.675781 1596199153.7731
MEM 42.691406 1596199153.8753
MEM 42.707031 1596199153.9768
MEM 42.718750 1596199154.0808
MEM 42.734375 1596199154.1831
MEM 42.750000 1596199154.2862
MEM 42.765625 1596199154.3902
MEM 42.781250 1596199154.4940
MEM 42.796875 1596199154.5956
MEM 42.808594 1596199154.6971
MEM 42.824219 1596199154.7999
MEM 42.839844 1596199154.9044
MEM 42.855469 1596199155.0049
MEM 42.871094 1596199155.1062
MEM 42.882812 1596199155.2087
MEM 42.902344 1596199155.3103
MEM 42.914062 1596199155.4113
MEM 42.929688 1596199155.5149
MEM 42.945312 1596199155.6152
MEM 42.960938 1596199155.7176
MEM 42.976562 1596199155.8180
MEM 42.996094 1596199155.9183
MEM 43.011719 1596199156.0209
MEM 43.027344 1596199156.1211
MEM 43.042969 1596199156.2237
MEM 43.058594 1596199156.3287
MEM 43.074219 1596199156.4290
MEM 43.089844 1596199156.5312
MEM 43.105469 1596199156.6333
MEM 43.117188 1596199156.7335
MEM 43.132812 1596199156.8336
MEM 43.148438 1596199156.9364
MEM 43.164062 1596199157.0402
MEM 43.179688 1596199157.1404
MEM 43.191406 1596199157.2409
MEM 43.207031 1596199157.3425
MEM 43.222656 1596199157.4436
MEM 43.238281 1596199157.5455
MEM 43.253906 1596199157.6479
MEM 43.269531 1596199157.7482
MEM 43.285156 1596199157.8490
MEM 43.300781 1596199157.9500
MEM 43.316406 1596199158.0551
MEM 43.335938 1596199158.1583
MEM 43.347656 1596199158.2610
MEM 43.363281 1596199158.3613
MEM 43.378906 1596199158.4616
MEM 43.394531 1596199158.5667
MEM 43.410156 1596199158.6671
MEM 43.425781 1596199158.7672
MEM 43.437500 1596199158.8680
MEM 43.453125 1596199158.9698
MEM 43.468750 1596199159.0737
MEM 43.484375 1596199159.1771
MEM 43.500000 1596199159.2784
MEM 43.515625 1596199159.3786
MEM 43.531250 1596199159.4815
MEM 43.546875 1596199159.5827
MEM 43.558594 1596199159.6843
MEM 43.574219 1596199159.7847
MEM 43.593750 1596199159.8864
MEM 43.609375 1596199159.9875
MEM 43.625000 1596199160.0890
MEM 43.636719 1596199160.1903
MEM 43.652344 1596199160.2916
MEM 43.667969 1596199160.3963
MEM 43.679688 1596199160.4966
MEM 43.695312 1596199160.6010
MEM 43.710938 1596199160.7021
MEM 43.726562 1596199160.8025
MEM 43.742188 1596199160.9037
MEM 43.757812 1596199161.0039
MEM 43.773438 1596199161.1080
MEM 43.789062 1596199161.2109
MEM 43.804688 1596199161.3140
MEM 43.820312 1596199161.4191
MEM 43.835938 1596199161.5241
MEM 43.851562 1596199161.6286
MEM 43.867188 1596199161.7302
MEM 43.882812 1596199161.8337
MEM 43.898438 1596199161.9344
MEM 43.914062 1596199162.0358
MEM 43.929688 1596199162.1403
MEM 43.941406 1596199162.2437
MEM 43.957031 1596199162.3468
MEM 43.976562 1596199162.4488
MEM 43.988281 1596199162.5524
MEM 44.003906 1596199162.6557
MEM 44.019531 1596199162.7559
MEM 44.035156 1596199162.8568
MEM 44.050781 1596199162.9584
MEM 44.066406 1596199163.0588
